nome_musica;album_id;
Happiness;1;
Be Natural;2;
Wish tree;3;
Would U;4;
Rebirth;5;
Our Beloved BoA #4;6;
Dumb Dumb;7;
Huff N Puff;7;
Campfire;7;
Red Dress;7;
Oh Boy;7;
Lady Room;7;
Time Slip;7;
Don't U Wait No More;7;
Day 1;7;
Cool World;7;
Peek-A-Boo;8;
Look;8;
I Just;8;
Kingdom Come;8;
My Second Date;8;
Attaboy;8;
Perfect 10;8;
About Love;8;
Moonlight Melody;8;
Ice  Cream Cake;9;
Automatic;9;
Somethin Kinda Crazy;9;
Stupid Cupid;9;
Take It Slow;9;
Candy;9;
One of these nights;10;
Cool Hot Sweet Love;10;
Light Me Up;10;
First Time;10;
Rose Scent Breeze;10;
Russian Roulette;11;
Lucky Girl;11;
Bad Dracula;11;
Sunny Afternoon;11;
Fool;11;
Some Love;11;
My Dear;11;
Rookie;12;
Little Little;12;
Happily Ever After;12;
Talk to Me ;12;
Body Talk;12;
Last Love;12;
RBB;13;
Butterflies;13;
So Good;13;
Sassy Me;13;
Taste;13;
Zimzalabim;14;
Sunny Side;14;
Milkshake;14;
Bing Bing;14;
Parade;14;
LP;14;
Umpah;15;
Carpool;15;
Love is the Way;15;
Jumpin;15;
Ladies Night;15;
Eyes Locked, Hands Locked;15;
Queendom;16;
Pose;16;
Knock On wood;16;
Better Be;16;
Pushin' N Pullin;16;
Hello,Sunset;16;
Red Flavor;17;
You Better Know;17;
Zoo;17;
Mojito;17;
Hear the Sea;17;
Power Up;18;
With You;18;
Mr. E;18;
Mosquito;18;
Hit That Drum;18;
Blue Lemonade;18;
Bad Boy;18;
Red Radio;18;
How You Like Thst;19;
Ice Cream;19;
Pretty Savage;19;
Bet You Wanna;19;
Lovesick Girls;19;
Crazy Over You;19;
Love To Hate Me;19;
You Never Know;19;
cdu-Du Ddu-Du;20;
Forever Young;20;
Really;20;
See U Later;20;
Kill This Love;21;
Don't Know What to Do;21;
Kick It;21;
Hope Not;21;
Ddu-Du Ddu-Du;21;
How You Like That;22;
Whistle;23;
Boombayah;23;
Pllaying With Fire;24;
Stay;24;
As If It's Your Last;25;
Likey;26;
Turtle;26;
Missing U;26;
Wow;26;
FFW;26;
Ding Dong;26;
24/7;26;
Look At Me;26;
Rollin;26;
Love Line;26;
Don't Give Up;26;
You in my Heart;26;
Jaljayo Good Night;26;
Heart Shaker;27;
Merry & Happy;27;
Likey;27;
Turtle;27;
Missing U;27;
Wow;27;
